Company_Name,Company_Age,CIBIL_Commercial_Score,GSTR_Declared_Revenue_Cr,Bank_Statement_Inflow_Cr,Litigation_Count,News_Sentiment_Score,Loan_Approved,Approved_Limit_Cr,Interest_Rate_Pct
"Krishnan, Goda and Bath",36,316,473.22,498.13,1,-0.79,0,0.0,0.0
Khalsa-Bala,27,742,364.5,328.08,1,-0.68,0,0.0,0.0
Konda and Sons,48,312,245.4,128.15,0,0.13,0,0.0,0.0
Bahri-Aggarwal,31,506,27.59,26.73,0,0.63,0,0.0,0.0
"Goswami, Cherian and Gill",33,587,255.86,267.75,5,0.54,0,0.0,0.0
Ramaswamy-Roy,47,660,385.63,378.85,2,-0.4,1,52.8,9.7
Rastogi-Bobal,34,315,275.31,279.95,0,0.18,0,0.0,0.0
Bera-Sachar,12,838,417.64,396.89,0,-0.37,1,88.86,8.81
Dara-Rout,45,344,218.1,238.89,1,-0.11,0,0.0,0.0
Patel Group,6,609,316.76,151.41,1,0.54,0,0.0,0.0
Ghose Group,22,596,365.8,357.55,0,-0.41,0,0.0,0.0
"Sachdev, Mistry and Sura",34,741,78.45,78.75,1,-0.56,0,0.0,0.0
Agarwal-Pingle,37,815,205.2,217.33,0,-0.78,0,0.0,0.0
"Nadkarni, Kuruvilla and Dhaliwal",29,604,165.81,151.96,0,-0.41,1,21.76,9.98
Purohit Ltd,39,627,290.38,318.04,2,-0.94,0,0.0,0.0
Modi-Nagarajan,24,832,477.48,494.55,2,-0.43,1,90.21,8.84
Sahni Ltd,30,744,333.44,341.88,0,-0.87,0,0.0,0.0
Bhatt-Murty,40,313,206.18,207.56,2,-0.24,0,0.0,0.0
Brar and Sons,12,784,6.59,6.34,0,-0.84,0,0.0,0.0
Behl PLC,17,756,194.64,205.98,1,0.49,1,29.16,9.22
Bava Inc,24,867,341.58,312.09,0,-0.73,0,0.0,0.0
Tripathi Inc,10,533,203.45,214.73,0,-0.97,0,0.0,0.0
Sunder-Mitra,42,862,288.37,116.81,1,0.96,0,0.0,0.0
"Dewan, Chaudhary and Contractor",44,489,271.94,257.58,0,0.91,0,0.0,0.0
Chand Inc,31,850,318.82,482.72,0,0.26,0,0.0,0.0
Upadhyay-Kala,6,672,272.58,255.79,0,0.54,1,31.96,9.64
Narula-Mital,31,656,20.26,21.58,1,0.63,1,2.91,9.72
Soni LLC,16,525,331.81,322.17,0,0.83,0,0.0,0.0
Ram Ltd,35,836,74.42,31.85,0,-0.63,0,0.0,0.0
Chaudhari-Ramaswamy,21,485,237.76,246.11,1,-0.85,0,0.0,0.0
"Grover, Parsa and De",35,515,162.46,159.7,0,-0.84,0,0.0,0.0
"Pathak, Thaker and Parsa",27,380,278.29,453.03,1,0.08,0,0.0,0.0
Samra-Sastry,22,537,158.9,151.34,0,0.92,0,0.0,0.0
Sanghvi Group,37,418,269.81,249.92,1,-0.88,0,0.0,0.0
"Sahni, Divan and Seshadri",8,859,454.12,476.46,0,0.28,1,106.92,8.71
Divan Inc,24,344,57.47,58.22,0,0.09,0,0.0,0.0
"Bassi, Salvi and Cheema",25,791,344.14,366.08,2,-0.06,1,56.88,9.04
Behl-Nadig,12,492,286.0,261.92,0,-0.99,0,0.0,0.0
Chatterjee Ltd,33,648,297.32,315.73,2,-0.79,0,0.0,0.0
Talwar Ltd,12,852,262.87,241.88,0,-0.44,1,35.88,8.74
Nagi PLC,9,408,150.58,146.22,0,0.47,0,0.0,0.0
Char Inc,47,667,308.74,296.82,0,0.04,1,45.74,9.66
Lad-Basu,33,654,372.25,631.74,0,0.81,0,0.0,0.0
"Das, Ganguly and Ganguly",2,752,210.95,209.62,2,-0.49,1,33.25,10.74
Goswami-Bhattacharyya,8,404,220.74,203.87,0,-0.39,0,0.0,0.0
"Rout, Tandon and Choudhury",45,517,490.7,445.63,0,-0.54,0,0.0,0.0
"Bhandari, Peri and Kar",27,628,113.02,112.88,0,0.22,1,19.48,9.86
De Group,35,862,102.35,104.93,0,-0.69,0,0.0,0.0
Oak-Kumer,37,391,325.56,346.48,0,0.76,0,0.0,0.0
"Sandal, Aurora and Sahota",4,678,10.21,5.24,0,0.68,0,0.0,0.0
Palan-Kaul,19,773,369.08,352.58,0,0.38,1,52.65,9.13
"Bhagat, Tailor and Bains",26,856,90.37,94.45,0,0.49,1,22.29,8.72
"Krishna, Patil and Pai",19,390,302.12,520.54,0,0.99,0,0.0,0.0
Hari-Garg,37,456,184.56,318.57,2,0.83,0,0.0,0.0
"Kala, Bhalla and Dave",36,404,489.01,475.94,0,-0.92,0,0.0,0.0
"Vyas, De and Mann",38,874,418.53,453.39,0,0.65,1,86.76,8.63
"Pai, Narayanan and Ramesh",49,648,408.81,389.54,2,-0.77,0,0.0,0.0
Bir-Khalsa,40,471,120.57,123.14,0,0.67,0,0.0,0.0
"Dasgupta, Mahal and Mital",3,399,276.33,263.73,3,-0.37,0,0.0,0.0
"Venkatesh, Tripathi and Sheth",13,886,448.9,416.82,1,0.54,1,81.5,8.57
"Bhattacharyya, Munshi and Samra",30,623,434.76,427.68,0,0.99,1,61.14,9.88
Mammen Ltd,44,865,257.67,240.4,0,0.71,1,43.66,8.68
"Naik, Khosla and Nayak",42,825,41.13,44.58,0,0.69,1,8.35,8.88
Deol PLC,30,585,365.19,359.68,0,0.57,0,0.0,0.0
"Sathe, Nayar and Rai",37,661,407.63,378.73,1,-0.49,1,41.84,9.7
Chacko Inc,47,332,194.46,184.56,1,0.42,0,0.0,0.0
Babu-Bhatnagar,7,734,5.09,5.19,3,0.38,0,0.0,0.0
"Pal, Sen and Pathak",19,635,333.01,319.8,0,-0.57,0,0.0,0.0
"Dixit, Ravi and Sabharwal",27,817,474.77,494.12,0,-0.19,1,98.23,8.91
Pillay-Raghavan,27,890,136.87,145.64,0,0.53,1,26.64,8.55
"Khatri, Gour and Sastry",30,762,374.39,368.01,0,-0.64,0,0.0,0.0
Morar and Sons,17,888,156.65,246.62,2,-0.29,0,0.0,0.0
Kata-Lata,16,525,216.53,213.66,0,-0.63,0,0.0,0.0
"Raj, Sastry and Jaggi",18,865,495.5,523.68,5,-0.7,0,0.0,0.0
"Halder, Pandya and Dey",19,326,348.33,379.36,0,-0.78,0,0.0,0.0
Varty PLC,42,636,201.08,189.5,0,0.21,1,23.39,9.82
"Shah, Kala and Nigam",27,891,432.78,227.84,10,0.65,0,0.0,0.0
Tara-Reddy,41,430,477.47,511.85,0,0.88,0,0.0,0.0
Seshadri LLC,41,604,130.95,136.08,0,-0.38,1,16.85,9.98
Bala-Viswanathan,5,407,153.51,259.47,0,-0.31,0,0.0,0.0
Manda-Kapur,14,561,206.42,195.58,0,-0.69,0,0.0,0.0
Chauhan-Char,34,728,313.89,284.71,2,0.35,1,35.56,9.36
"Dyal, Kar and Kothari",22,771,459.42,425.11,0,-0.73,0,0.0,0.0
Borah Inc,47,683,172.1,167.0,0,0.32,1,26.0,9.59
Edwin PLC,29,705,192.01,184.93,2,0.77,1,35.17,9.47
"Palan, Purohit and Ravi",31,697,306.57,320.91,1,0.59,1,42.53,9.52
Sehgal Inc,3,799,277.49,280.66,0,0.66,1,59.12,10.51
"Vasa, Zachariah and Sarraf",47,834,84.72,86.35,1,-0.25,1,12.62,8.83
Uppal-Chakrabarti,13,781,179.27,190.47,0,-0.04,1,40.42,9.1
Goel PLC,20,683,313.92,156.5,0,-0.32,0,0.0,0.0
Bhatt LLC,37,769,379.11,400.45,0,-0.58,0,0.0,0.0
Vohra LLC,27,579,461.47,482.13,0,0.5,0,0.0,0.0
Soni-Chana,3,676,412.46,558.89,0,0.96,0,0.0,0.0
Master-Dixit,1,484,200.62,190.48,0,-0.25,0,0.0,0.0
"Deo, Samra and Sunder",47,705,319.13,310.47,0,-0.57,0,0.0,0.0
Sem Inc,11,810,160.06,149.28,0,0.48,1,30.09,8.95
"Ratta, Dora and Koshy",36,658,120.39,110.7,0,-0.48,1,20.21,9.71
Badal-Kamdar,17,547,213.72,217.61,0,0.98,0,0.0,0.0
Banik Inc,13,703,299.16,313.48,0,0.41,1,55.32,9.48
"Purohit, Mohan and Bali",32,353,365.92,147.01,3,0.12,0,0.0,0.0
"Goyal, Sachar and Pall",19,449,248.9,261.03,0,0.36,0,0.0,0.0
Pandya-Chowdhury,34,741,13.9,13.42,0,0.42,1,2.56,9.29
Sura-Narain,16,602,228.19,225.2,0,-0.99,0,0.0,0.0
"Natarajan, Bal and Parsa",41,675,490.26,673.15,0,0.36,0,0.0,0.0
Babu PLC,35,673,17.45,18.24,2,0.11,1,3.07,9.63
"Vyas, Sahni and Chhabra",28,383,23.95,22.58,0,-0.64,0,0.0,0.0
"Biswas, Sagar and Pai",25,434,376.27,381.78,0,0.56,0,0.0,0.0
Kala PLC,40,569,446.37,453.21,0,-0.35,0,0.0,0.0
"Mistry, Sachar and Sha",34,857,53.18,50.44,1,0.64,1,8.78,8.71
Tandon and Sons,30,399,422.8,433.28,0,0.99,0,0.0,0.0
Jain-Sane,48,415,272.44,270.26,1,-0.06,0,0.0,0.0
"Dara, Dugar and Kibe",17,405,126.18,130.71,0,-0.18,0,0.0,0.0
Saha-Goda,5,740,348.87,318.02,0,0.3,1,44.51,10.8
"Toor, Kalita and Kothari",43,450,331.59,323.3,0,0.53,0,0.0,0.0
Agarwal Group,8,892,265.49,460.29,0,0.08,0,0.0,0.0
"Naidu, Dada and Pandey",22,551,187.17,169.51,0,0.66,0,0.0,0.0
Rana Ltd,15,774,187.05,187.28,0,-0.87,0,0.0,0.0
"Keer, Kade and Garg",7,875,331.43,323.8,1,0.12,1,60.41,8.62
Parsa Group,19,682,243.34,266.61,0,-0.42,1,42.35,9.59
Mahal Inc,1,570,367.76,332.98,0,0.98,0,0.0,0.0
"Dhaliwal, Chopra and Panchal",2,351,311.19,299.41,0,0.03,0,0.0,0.0
Pradhan-Tak,19,508,430.81,391.83,1,-0.01,0,0.0,0.0
"Butala, Kaur and Ranganathan",43,887,490.07,458.27,0,0.93,1,81.56,8.56
"Narayan, Dayal and Sankaran",1,351,73.04,77.78,0,-0.31,0,0.0,0.0
Sem Inc,37,418,380.24,575.86,0,-0.76,0,0.0,0.0
Zachariah-Pandey,36,547,331.0,334.0,0,-0.48,0,0.0,0.0
Modi Group,27,737,294.74,311.79,0,0.56,1,56.18,9.31
Dey Inc,6,419,437.7,242.19,0,0.71,0,0.0,0.0
"Kara, Suresh and Shanker",46,327,407.1,393.76,0,0.75,0,0.0,0.0
Mohanty-Lalla,20,662,299.08,319.55,0,-0.94,0,0.0,0.0
Konda-Ganesan,29,394,198.74,179.63,0,-0.28,0,0.0,0.0
"Sarma, Raja and Parmar",36,577,404.82,428.74,3,0.76,0,0.0,0.0
Dewan-Dyal,8,708,236.9,247.75,0,-0.42,1,29.3,9.46
"Sengupta, Toor and Kannan",30,745,339.28,335.91,1,-0.43,1,62.15,9.28
Varty-Mangat,35,658,331.77,144.86,0,-0.77,0,0.0,0.0
Tripathi Inc,30,534,75.04,75.24,1,-0.81,0,0.0,0.0
Sen-Bahl,5,573,145.6,133.52,0,0.05,0,0.0,0.0
"Dubey, Saraf and Edwin",11,785,348.26,336.85,0,-0.16,1,62.23,9.07
"Thaker, Loke and Oak",2,834,48.44,48.37,0,-0.37,1,11.13,10.33
Atwal-Konda,9,432,391.88,689.78,1,0.59,0,0.0,0.0
Din-Sawhney,18,858,490.44,297.21,0,-0.45,0,0.0,0.0
Dass Ltd,32,453,38.82,38.32,2,-0.86,0,0.0,0.0
"Mitter, Lall and Khosla",31,559,126.3,53.76,0,-0.41,0,0.0,0.0
Chacko-Panchal,18,403,355.51,368.75,1,0.88,0,0.0,0.0
"Dyal, Devi and Majumdar",20,575,42.87,40.25,1,-0.65,0,0.0,0.0
Dar Ltd,28,334,168.73,242.51,0,-0.36,0,0.0,0.0
Talwar-Bath,39,862,351.0,350.03,0,0.28,1,76.01,8.69
Misra-Magar,44,597,45.68,48.51,0,-0.92,0,0.0,0.0
Zacharia-Tak,13,623,103.75,105.8,1,0.94,1,16.14,9.88
"Kibe, Murty and Lala",10,314,65.4,65.07,0,-0.85,0,0.0,0.0
"Manne, Karan and Sawhney",37,746,104.0,99.38,0,-0.41,1,15.63,9.27
"Khalsa, Naidu and Loke",36,896,478.0,518.05,5,0.52,0,0.0,0.0
Shroff-Dhaliwal,5,860,120.91,118.52,0,-0.7,0,0.0,0.0
Behl Group,20,478,433.2,393.94,0,-0.77,0,0.0,0.0
Gulati Inc,11,635,68.85,64.17,0,0.48,1,10.88,9.82
"Khosla, Loke and Reddy",39,806,7.14,11.29,2,0.27,0,0.0,0.0
Warrior-Nagar,2,496,109.92,105.9,0,0.75,0,0.0,0.0
Bassi and Sons,33,450,393.86,187.24,0,0.65,0,0.0,0.0
"Vig, Bansal and Sharaf",49,504,372.0,374.92,0,0.5,0,0.0,0.0
Pall-Saxena,26,764,417.11,422.79,0,-0.11,1,65.01,9.18
Aggarwal-Minhas,37,557,249.45,100.93,1,0.07,0,0.0,0.0
"Pant, Chaudry and Ramachandran",10,812,194.17,289.85,0,-0.79,0,0.0,0.0
"Choudhry, Dani and Nath",49,306,154.03,244.33,0,-0.57,0,0.0,0.0
Atwal-Pal,7,734,303.03,321.29,2,-0.53,0,0.0,0.0
Kalita-Gole,34,403,138.13,144.22,0,-0.29,0,0.0,0.0
"Raj, Parekh and Bhatia",17,310,117.31,187.36,5,0.17,0,0.0,0.0
Aurora-Dixit,20,508,257.04,164.21,0,-0.96,0,0.0,0.0
Gandhi and Sons,14,589,29.18,26.99,5,-0.65,0,0.0,0.0
Sanghvi Inc,10,466,411.24,386.49,0,0.89,0,0.0,0.0
Kurian-Sibal,44,641,327.67,336.24,0,-0.54,0,0.0,0.0
"Madan, Mall and Sangha",28,406,110.96,113.35,1,0.5,0,0.0,0.0
Rattan-Venkatesh,19,648,102.03,65.26,3,-0.75,0,0.0,0.0
Balan and Sons,16,365,57.34,58.5,0,0.09,0,0.0,0.0
Trivedi Inc,21,530,196.74,206.17,0,0.21,0,0.0,0.0
"Chad, Iyer and Bora",36,448,30.99,20.81,0,0.78,0,0.0,0.0
Bumb Group,24,318,494.22,455.02,1,0.68,0,0.0,0.0
"Ramanathan, Mitter and Gour",17,654,91.81,86.25,1,-0.05,1,14.15,9.73
"Krishnamurthy, Keer and Rao",9,348,280.02,258.24,0,-0.56,0,0.0,0.0
Magar-Savant,21,874,306.53,290.52,0,-0.8,0,0.0,0.0
"Din, Kalla and Lalla",24,853,182.25,180.24,0,0.62,1,41.3,8.73
"Dhingra, Jani and Badal",48,378,13.45,14.52,1,-0.4,0,0.0,0.0
Anand-Natt,23,663,112.29,160.61,0,-0.73,0,0.0,0.0
Viswanathan Group,14,792,63.31,58.21,2,0.08,1,9.7,9.04
Mannan Group,24,622,424.22,443.21,0,0.26,1,50.96,9.89
Setty Group,44,683,434.54,437.63,0,0.23,1,65.41,9.59
"Varma, Vasa and Din",28,459,262.21,132.67,0,-0.29,0,0.0,0.0
Krishnan-Shetty,23,463,179.09,188.38,1,1.0,0,0.0,0.0
"Saran, Bawa and Deep",39,377,391.41,355.94,0,-0.51,0,0.0,0.0
"Deep, Shenoy and Vasa",38,404,29.56,27.47,2,0.02,0,0.0,0.0
"Pillay, Jaggi and Majumdar",49,838,175.18,170.29,0,0.33,1,32.45,8.81
Balay LLC,34,700,460.24,430.6,0,-0.02,1,57.74,9.5
Balakrishnan-Srinivasan,45,566,409.47,243.02,0,0.95,0,0.0,0.0
Goswami Inc,35,500,200.04,213.64,2,0.46,0,0.0,0.0
Kaur-Pai,41,395,444.0,480.25,1,-0.33,0,0.0,0.0
Ramakrishnan Inc,11,391,439.15,293.34,0,0.72,0,0.0,0.0
Suri Group,6,435,297.3,531.05,2,0.56,0,0.0,0.0
Gala-Bhavsar,32,431,365.31,347.9,0,-0.36,0,0.0,0.0
"Kanda, Bal and Sagar",44,598,272.48,157.44,2,-0.86,0,0.0,0.0
"Muni, Kale and Tara",35,526,162.62,161.41,0,-0.62,0,0.0,0.0
Sant LLC,8,580,26.67,24.68,0,0.87,0,0.0,0.0
De-Prabhakar,6,457,292.25,297.94,0,0.34,0,0.0,0.0
"Chaudhuri, Reddy and Mand",13,746,335.19,359.1,0,0.26,1,71.01,9.27
Ahuja-Randhawa,1,399,401.45,224.09,0,0.91,0,0.0,0.0
"Bhatia, Prabhu and Jain",10,697,77.81,76.19,2,0.26,1,10.71,9.52
"Master, Lala and Dash",21,892,251.01,235.62,1,0.54,1,53.5,8.54
Khalsa-Thakkar,43,533,322.64,219.66,0,-0.76,0,0.0,0.0
Sarin LLC,17,379,369.23,372.96,0,0.54,0,0.0,0.0
Ramakrishnan and Sons,26,441,6.12,9.96,0,0.6,0,0.0,0.0
Varkey and Sons,11,327,430.88,219.37,2,0.69,0,0.0,0.0
Dara-Basu,32,401,320.6,161.58,0,0.22,0,0.0,0.0
"Nath, Mammen and Sarkar",24,633,72.03,76.35,0,-0.65,0,0.0,0.0
Prakash-Dayal,17,804,124.15,132.11,0,-0.99,0,0.0,0.0
Varkey-Nath,1,871,8.63,9.21,0,-0.98,0,0.0,0.0
"Kar, Malhotra and Borra",23,800,11.06,10.57,3,-0.82,0,0.0,0.0
Ahuja LLC,41,818,25.53,12.65,0,0.14,0,0.0,0.0
"Shere, Datta and Ghosh",3,492,396.85,379.93,0,0.45,0,0.0,0.0
Naidu-Sinha,7,582,424.85,408.87,0,-0.9,0,0.0,0.0
Pathak-Keer,14,335,207.43,202.45,1,0.02,0,0.0,0.0
More-Kade,12,754,74.24,96.99,0,-0.04,0,0.0,0.0
"Sama, Raval and Upadhyay",44,847,436.99,759.92,0,-0.76,0,0.0,0.0
Sarma and Sons,46,336,292.96,191.44,0,0.59,0,0.0,0.0
Din PLC,30,759,472.97,698.19,0,0.67,0,0.0,0.0
"Menon, Varughese and Bhakta",20,554,384.76,416.45,0,0.3,0,0.0,0.0
Oak Ltd,43,880,180.26,174.83,1,-0.5,1,30.55,8.6
Rama Ltd,33,558,374.13,387.19,0,0.99,0,0.0,0.0
"Virk, Lata and Badami",32,566,337.1,368.56,0,-0.26,0,0.0,0.0
Date-Bakshi,49,541,388.43,388.66,0,-0.48,0,0.0,0.0
Lal LLC,22,656,289.64,279.32,2,0.12,1,44.08,9.72
Sharaf LLC,39,892,381.89,353.46,2,-0.66,0,0.0,0.0
Dixit Group,20,354,53.7,54.09,0,-0.52,0,0.0,0.0
"Deshmukh, Bora and Barad",7,385,116.72,107.06,0,0.55,0,0.0,0.0
Nayak LLC,5,812,421.54,456.45,0,-0.97,0,0.0,0.0
"Pillai, Peri and Kumer",37,337,356.41,375.18,0,-0.17,0,0.0,0.0
"Chawla, Parekh and Bose",47,870,34.42,50.11,0,0.14,0,0.0,0.0
Dhar Ltd,1,799,5.95,3.24,1,-0.08,0,0.0,0.0
Bava-Ahuja,20,794,186.8,284.69,0,0.66,0,0.0,0.0
Memon-Bail,16,719,478.18,431.62,0,0.57,1,65.65,9.4
Kumer Inc,44,717,438.51,420.65,0,-0.83,0,0.0,0.0
"Bhargava, Ratta and Gulati",10,693,336.26,367.14,0,-0.77,0,0.0,0.0
"Jayaraman, Bal and Balan",44,332,453.22,416.36,0,0.13,0,0.0,0.0
Grewal Group,32,382,294.52,305.39,5,-0.95,0,0.0,0.0
Tandon-Lata,13,546,243.13,236.73,1,0.74,0,0.0,0.0
Thaman Inc,49,552,318.53,293.7,0,0.27,0,0.0,0.0
Hans-Kapoor,4,425,255.27,242.99,0,-0.83,0,0.0,0.0
Edwin LLC,47,768,265.33,256.69,0,-0.55,0,0.0,0.0
Gandhi PLC,3,466,402.28,412.79,0,-0.87,0,0.0,0.0
Saini-Sen,38,410,236.58,243.33,0,0.42,0,0.0,0.0
Bhatnagar-Lad,20,550,366.22,334.37,0,0.71,0,0.0,0.0
Rama Inc,23,704,209.43,127.84,1,0.27,0,0.0,0.0
Talwar-Rege,32,462,114.7,157.0,0,0.04,0,0.0,0.0
Chawla-Varkey,18,463,368.66,370.82,0,0.69,0,0.0,0.0
"Rana, Mander and Pillay",40,484,263.99,238.04,0,-0.95,0,0.0,0.0
Sur-Luthra,25,444,215.29,212.07,2,0.47,0,0.0,0.0
"Varma, Uppal and Parmer",41,367,443.39,440.82,0,-0.83,0,0.0,0.0
Vala PLC,24,849,281.82,303.23,2,-0.09,1,65.9,8.76
Narayanan-Palan,17,426,348.33,341.72,0,-0.63,0,0.0,0.0
Bath LLC,23,332,233.11,216.33,0,-0.16,0,0.0,0.0
"Parmer, Wali and Ram",29,650,477.8,451.61,3,0.15,0,0.0,0.0
"Chopra, Mander and Ahluwalia",37,504,212.32,223.41,0,-0.73,0,0.0,0.0
"Amble, Vasa and Khosla",12,892,68.28,61.77,1,-0.45,1,10.63,8.54
Garde LLC,33,682,238.77,233.15,5,0.54,0,0.0,0.0
Sampath-Krishnan,18,576,453.05,450.69,2,0.71,0,0.0,0.0
Bassi-Khurana,36,554,99.38,99.31,0,0.53,0,0.0,0.0
Chana-Chowdhury,46,474,433.97,392.51,1,0.44,0,0.0,0.0
"Mander, Merchant and Ghosh",20,743,393.61,403.72,0,-0.23,1,52.43,9.29
"Behl, Dugar and Sami",23,715,206.1,205.9,2,-0.11,1,36.28,9.43
Dora-Boase,19,379,274.6,299.91,1,-0.3,0,0.0,0.0
"Kalla, Chatterjee and Devan",24,406,98.04,54.38,0,0.97,0,0.0,0.0
Butala PLC,40,619,117.2,107.16,0,-0.95,0,0.0,0.0
Mand-Sabharwal,48,482,329.44,337.04,0,-0.04,0,0.0,0.0
Raj-Bhalla,3,629,210.13,200.93,0,-0.36,1,21.24,11.36
Saxena LLC,28,760,363.07,364.36,0,0.53,1,75.99,9.2
"Issac, Pathak and Kar",9,609,206.05,193.55,0,0.72,1,32.44,9.96
Rajagopalan LLC,7,728,90.13,83.91,0,-0.11,1,12.08,9.36
Babu PLC,30,316,17.39,17.53,0,0.87,0,0.0,0.0
"Varty, Upadhyay and Pingle",40,659,210.38,189.59,2,0.83,1,27.37,9.71
Dash-De,47,377,362.32,347.72,0,-0.48,0,0.0,0.0
Ram-Sastry,11,456,169.79,172.76,0,-0.55,0,0.0,0.0
Arya-Bhargava,3,451,90.98,82.72,0,-0.03,0,0.0,0.0
Saha Group,20,730,82.82,88.46,0,0.06,1,17.56,9.35
Handa Group,27,776,103.67,100.47,2,0.41,1,18.5,9.12
Sarna-Dua,2,794,236.21,231.78,0,0.85,1,31.18,10.53
Bhatnagar-Bali,11,703,225.43,214.74,1,0.52,1,26.91,9.48
Shah LLC,26,649,358.11,356.28,0,-0.18,1,58.15,9.75
Salvi-Garg,21,340,416.77,448.58,0,0.38,0,0.0,0.0
Date-Agarwal,41,562,246.76,160.6,0,-0.37,0,0.0,0.0
"Tak, Ram and Mohanty",11,439,313.95,298.37,1,-0.75,0,0.0,0.0
"Loyal, Kapur and Sane",41,431,251.14,236.87,0,-0.78,0,0.0,0.0
Behl-Dhillon,2,726,120.21,208.38,0,-0.18,0,0.0,0.0
"Vyas, Bath and Gulati",31,576,211.3,191.94,0,0.86,0,0.0,0.0
Pau and Sons,46,462,226.71,247.14,0,-0.81,0,0.0,0.0
Ravi and Sons,10,451,163.6,147.62,0,-0.52,0,0.0,0.0
Ramakrishnan Group,44,899,244.98,255.51,3,-0.43,0,0.0,0.0
Krishnan-Talwar,9,726,160.2,170.0,0,0.37,1,23.18,9.37
Lad-Upadhyay,13,425,488.84,516.92,0,-0.55,0,0.0,0.0
Korpal Ltd,32,574,338.37,359.48,0,-0.1,0,0.0,0.0
Dutta-Golla,33,755,454.24,439.24,1,0.19,1,55.59,9.22
"Balay, Nazareth and Krishna",39,589,206.46,206.22,0,0.36,0,0.0,0.0
Kamdar and Sons,27,674,399.34,359.67,1,0.32,1,44.5,9.63
"Dani, Mahal and Panchal",49,329,114.42,118.59,0,0.78,0,0.0,0.0
Rao-Parsa,24,345,302.12,132.77,0,0.24,0,0.0,0.0
Chandra-Raj,27,701,62.54,66.02,0,0.06,1,9.36,9.49
"Saxena, Sethi and Balasubramanian",7,319,57.01,52.87,0,0.81,0,0.0,0.0
Nazareth-Dalal,35,323,375.03,387.37,0,-0.24,0,0.0,0.0
Mannan and Sons,32,756,181.96,168.94,0,-0.46,1,34.38,9.22
Chokshi-Sen,37,574,291.48,262.81,0,0.18,0,0.0,0.0
Chaudhary-Mody,4,618,131.8,139.6,0,-0.69,0,0.0,0.0
Gulati-Sachdeva,19,333,42.62,45.24,0,0.19,0,0.0,0.0
Datta Inc,30,359,205.31,105.61,0,-0.28,0,0.0,0.0
Mahajan-Bail,36,495,449.21,434.41,0,0.27,0,0.0,0.0
"Sarkar, Maharaj and Koshy",10,784,188.45,175.35,1,-0.02,1,29.9,9.08
Dhingra LLC,3,759,81.19,89.18,0,-0.3,1,14.87,10.71
Lad-Mane,20,853,467.41,488.05,0,0.92,1,102.01,8.73
Keer-Kadakia,19,536,251.9,247.59,2,-0.83,0,0.0,0.0
Korpal LLC,21,625,389.63,532.42,0,-0.84,0,0.0,0.0
"Morar, Sehgal and Din",41,816,223.68,94.88,2,-0.6,0,0.0,0.0
"Sankar, Raman and Puri",15,737,310.0,533.21,0,-0.42,0,0.0,0.0
"Raval, Barman and Prashad",23,581,91.52,50.29,0,0.78,0,0.0,0.0
Iyengar and Sons,14,660,436.52,664.4,1,-0.56,0,0.0,0.0
Murthy-Chand,48,506,260.22,254.69,0,-0.57,0,0.0,0.0
Sheth-Sehgal,29,485,174.13,117.5,10,0.74,0,0.0,0.0
Gade-Hayer,5,820,476.71,512.62,3,0.15,0,0.0,0.0
Sibal-Varty,21,337,149.74,164.13,0,-0.85,0,0.0,0.0
"Shroff, Puri and Kulkarni",4,328,250.11,265.8,0,0.77,0,0.0,0.0
Pandya-Bava,18,511,189.94,175.98,1,0.36,0,0.0,0.0
Srinivas and Sons,25,723,120.88,130.62,0,0.47,1,20.66,9.38
Pandey-Seshadri,35,700,414.33,399.65,0,0.93,1,60.33,9.5
"Date, Narayan and Prabhu",38,424,288.5,295.07,0,0.76,0,0.0,0.0
Contractor-Kamdar,2,516,419.2,265.48,2,0.57,0,0.0,0.0
"Dasgupta, Hayer and Vaidya",35,754,282.93,269.63,0,0.3,1,34.2,9.23
Dua-Puri,21,450,328.0,173.62,0,-0.3,0,0.0,0.0
Dube-Manda,38,888,152.24,165.65,0,0.19,1,35.08,8.56
"Gandhi, Thaker and Ratti",20,610,374.61,395.82,0,-0.53,0,0.0,0.0
Shere-Aurora,2,440,50.19,75.67,0,-0.59,0,0.0,0.0
Dyal-Buch,1,509,178.02,183.14,0,-0.36,0,0.0,0.0
Ramesh-Kapur,44,599,485.77,498.65,0,0.84,0,0.0,0.0
Sura-Issac,22,438,111.23,107.7,0,-0.29,0,0.0,0.0
"Bajwa, Balasubramanian and More",17,560,275.98,280.86,0,-0.96,0,0.0,0.0
Murty LLC,18,542,62.73,56.58,0,-0.49,0,0.0,0.0
Ghose-Choudhury,4,329,372.36,217.44,0,-0.05,0,0.0,0.0
Grover PLC,42,726,331.56,330.12,10,-0.81,0,0.0,0.0
"Sethi, Barad and Natt",42,870,161.04,156.08,0,-0.85,0,0.0,0.0
Manne Group,15,793,327.86,550.56,0,-0.97,0,0.0,0.0
"Dixit, Madan and Swaminathan",18,801,178.27,172.42,0,0.9,1,37.34,8.99
"Mannan, Badal and Subramanian",24,380,278.98,258.75,1,-0.35,0,0.0,0.0
Palan-Kamdar,19,775,417.78,439.7,0,-0.88,0,0.0,0.0
"Konda, Dhaliwal and Bajaj",43,326,47.98,48.32,0,0.35,0,0.0,0.0
Kapur Group,44,799,173.96,191.03,0,-0.95,0,0.0,0.0
"Pandit, Karpe and Wadhwa",23,781,391.54,365.02,0,-0.72,0,0.0,0.0
